Client_Name,Account_ID,Legal_Entity,Currency,Payment_Type,Paid_Amount,Payment_Date,Payment_Status,Pending_Amount,Comments,Source
Goldman Sachs,102707,CitiBank Singapore,USD,Receive,3534,2020-04-24 ,Partially Paid,8196,Waiting for pending amount,3
Wells Fargo,104707,CitiBank NewYork,EUR,Deliver,7900,2020-05-16 ,Rejected,7900,Payment Failed,3
HSBC,104701,CitiBank HongKong,INR,Deliver,8444,2020-06-07 ,Partially Paid,8477,Waiting for pending amount,3
HSBC,101547,CitiBank London,GBP,Receive,2545,2020-03-21 ,Fully paid,0,Transaction complete,3
Morgan Stanley,102243,CitiBank NewYork,GBP,Receive,3675,2020-03-21 ,Processing,3675,Payment is in progress,3
HSBC,102074,CitiBank Singapore,CAD,Receive,6510,2020-02-29 ,Fully paid,0,Transaction complete,3
Wells Fargo,101030,CitiBank Bengaluru,USD,Deliver,2697,2020-03-08 ,Fully paid,0,Transaction complete,3
DEUTSCHE BANK,103695,CitiBank Pune,EUR,Deliver,5183,2020-02-27 ,Partially Paid,5156,Waiting for pending amount,3
Goldman Sachs,102030,CitiBank Pune,CAD,Receive,1297,2020-05-23 ,Processing,1297,Payment is in progress,3
BNP Paribas,101581,CitiBank Singapore,GBP,Receive,4077,2020-03-16 ,Fully paid,0,Transaction complete,3
BNY Mellon,101463,CitiBank London,CAD,Receive,8888,2020-04-16 ,Partially Paid,4829,Waiting for pending amount,3
DEUTSCHE BANK,101227,CitiBank London,EUR,Receive,1497,2020-04-19 ,Processing,1497,Payment is in progress,3
Goldman Sachs,102860,CitiBank London,INR,Receive,5480,2020-03-12 ,Rejected,5480,Payment Failed,3
Goldman Sachs,104330,CitiBank HongKong,CAD,Receive,6649,2020-06-05 ,Fully paid,0,Transaction complete,3
J P Morgan,103114,CitiBank Singapore,GBP,Receive,5459,2020-03-01 ,Processing,5459,Payment is in progress,3
HSBC,105009,CitiBank Singapore,EUR,Deliver,5503,2020-06-08 ,Fully paid,0,Transaction complete,3
HSBC,104196,CitiBank Pune,GBP,Receive,1846,2020-04-13 ,Fully paid,0,Transaction complete,3
HSBC,104247,CitiBank HongKong,GBP,Receive,979,2020-05-05 ,Rejected,979,Payment Failed,3
HSBC,102119,CitiBank Bengaluru,GBP,Receive,8861,2020-05-03 ,Partially Paid,9264,Waiting for pending amount,3
HSBC,104388,CitiBank Pune,GBP,Deliver,779,2020-02-28 ,Partially Paid,4899,Waiting for pending amount,3
DEUTSCHE BANK,104556,CitiBank Pune,GBP,Receive,2141,2020-05-18 ,Rejected,2141,Payment Failed,3
Morgan Stanley,104237,CitiBank HongKong,GBP,Deliver,1496,2020-03-15 ,Processing,1496,Payment is in progress,3
Wells Fargo,104589,CitiBank Pune,INR,Deliver,5382,2020-02-25 ,Partially Paid,977,Waiting for pending amount,3
Morgan Stanley,104574,CitiBank HongKong,EUR,Deliver,6296,2020-04-05 ,Rejected,6296,Payment Failed,3
J P Morgan,104482,CitiBank HongKong,INR,Deliver,4246,2020-05-09 ,Partially Paid,7766,Waiting for pending amount,3
Wells Fargo,102876,CitiBank London,INR,Deliver,3990,2020-06-03 ,Partially Paid,2259,Waiting for pending amount,3
HSBC,102980,CitiBank Bengaluru,CAD,Receive,1673,2020-05-18 ,Rejected,1673,Payment Failed,3
DEUTSCHE BANK,101165,CitiBank HongKong,EUR,Deliver,4876,2020-04-13 ,Fully paid,0,Transaction complete,3
BNP Paribas,101370,CitiBank Singapore,CAD,Deliver,7919,2020-05-19 ,Processing,7919,Payment is in progress,3
BNP Paribas,104473,CitiBank Pune,CAD,Deliver,8689,2020-05-26 ,Processing,8689,Payment is in progress,3
J P Morgan,104614,CitiBank Singapore,CAD,Deliver,8980,2020-04-13 ,Partially Paid,1314,Waiting for pending amount,3
HSBC,101754,CitiBank HongKong,INR,Receive,5644,2020-02-25 ,Fully paid,0,Transaction complete,3
DEUTSCHE BANK,103002,CitiBank Pune,INR,Deliver,3606,2020-04-04 ,Rejected,3606,Payment Failed,3
J P Morgan,103779,CitiBank NewYork,EUR,Deliver,7029,2020-05-10 ,Rejected,7029,Payment Failed,3
Wells Fargo,104607,CitiBank Bengaluru,INR,Receive,2030,2020-03-04 ,Processing,2030,Payment is in progress,3
J P Morgan,102664,CitiBank Pune,INR,Receive,7759,2020-03-24 ,Partially Paid,2835,Waiting for pending amount,3
HSBC,103120,CitiBank Singapore,EUR,Receive,547,2020-05-14 ,Rejected,547,Payment Failed,3
J P Morgan,102479,CitiBank NewYork,USD,Deliver,9926,2020-03-23 ,Rejected,9926,Payment Failed,3
Morgan Stanley,104965,CitiBank NewYork,GBP,Receive,9796,2020-05-17 ,Fully paid,0,Transaction complete,3
Wells Fargo,104172,CitiBank Pune,INR,Receive,4855,2020-05-30 ,Fully paid,0,Transaction complete,3
HSBC,101389,CitiBank Singapore,CAD,Deliver,6362,2020-05-07 ,Fully paid,0,Transaction complete,3
BNP Paribas,103094,CitiBank NewYork,GBP,Deliver,949,2020-03-04 ,Processing,949,Payment is in progress,3
HSBC,101170,CitiBank London,CAD,Deliver,9523,2020-04-26 ,Processing,9523,Payment is in progress,3
Goldman Sachs,101916,CitiBank Singapore,CAD,Deliver,5483,2020-04-02 ,Fully paid,0,Transaction complete,3
BNP Paribas,102612,CitiBank Bengaluru,INR,Receive,4630,2020-03-30 ,Fully paid,0,Transaction complete,3
BNY Mellon,104427,CitiBank HongKong,USD,Deliver,667,2020-03-21 ,Partially Paid,2582,Waiting for pending amount,3
HSBC,103991,CitiBank Pune,GBP,Receive,3394,2020-05-08 ,Partially Paid,9420,Waiting for pending amount,3
DEUTSCHE BANK,104063,CitiBank London,GBP,Deliver,2674,2020-05-16 ,Rejected,2674,Payment Failed,3
Wells Fargo,103382,CitiBank Singapore,INR,Deliver,9945,2020-03-27 ,Rejected,9945,Payment Failed,3
DEUTSCHE BANK,102070,CitiBank Singapore,CAD,Receive,3829,2020-05-06 ,Fully paid,0,Transaction complete,3
HSBC,102315,CitiBank NewYork,EUR,Deliver,2795,2020-03-05 ,Processing,2795,Payment is in progress,3
BNP Paribas,104626,CitiBank London,GBP,Receive,7664,2020-03-22 ,Partially Paid,3772,Waiting for pending amount,3
Wells Fargo,101109,CitiBank Pune,GBP,Deliver,5739,2020-02-21 ,Fully paid,0,Transaction complete,3
Goldman Sachs,105108,CitiBank London,INR,Receive,5443,2020-04-28 ,Rejected,5443,Payment Failed,3
Goldman Sachs,102937,CitiBank Bengaluru,CAD,Receive,6398,2020-06-06 ,Processing,6398,Payment is in progress,3
HSBC,104629,CitiBank London,USD,Deliver,4445,2020-04-14 ,Processing,4445,Payment is in progress,3
Wells Fargo,101252,CitiBank Bengaluru,GBP,Deliver,7837,2020-05-10 ,Rejected,7837,Payment Failed,3
BNP Paribas,103713,CitiBank HongKong,CAD,Receive,4020,2020-03-26 ,Fully paid,0,Transaction complete,3
BNY Mellon,103101,CitiBank Singapore,INR,Receive,951,2020-06-01 ,Rejected,951,Payment Failed,3
Wells Fargo,102160,CitiBank Pune,INR,Deliver,7061,2020-03-29 ,Partially Paid,3732,Waiting for pending amount,3
DEUTSCHE BANK,103296,CitiBank Singapore,INR,Deliver,2600,2020-05-03 ,Rejected,2600,Payment Failed,3
HSBC,102597,CitiBank London,INR,Receive,3122,2020-03-31 ,Fully paid,0,Transaction complete,3
Wells Fargo,104855,CitiBank Singapore,EUR,Receive,9612,2020-04-07 ,Partially Paid,1763,Waiting for pending amount,3
BNP Paribas,103702,CitiBank HongKong,INR,Deliver,310,2020-04-01 ,Fully paid,0,Transaction complete,3
Goldman Sachs,102896,CitiBank London,CAD,Deliver,1887,2020-03-30 ,Partially Paid,2714,Waiting for pending amount,3
Wells Fargo,102309,CitiBank HongKong,CAD,Receive,6225,2020-03-06 ,Rejected,6225,Payment Failed,3
DEUTSCHE BANK,104573,CitiBank Singapore,USD,Deliver,8818,2020-04-13 ,Fully paid,0,Transaction complete,3
BNY Mellon,101346,CitiBank Singapore,EUR,Receive,7178,2020-04-23 ,Processing,7178,Payment is in progress,3
Morgan Stanley,103677,CitiBank Singapore,GBP,Receive,4666,2020-05-14 ,Rejected,4666,Payment Failed,3
Wells Fargo,104365,CitiBank Singapore,GBP,Receive,3972,2020-03-12 ,Fully paid,0,Transaction complete,3
DEUTSCHE BANK,104415,CitiBank Bengaluru,GBP,Deliver,5253,2020-04-08 ,Partially Paid,7341,Waiting for pending amount,3
Morgan Stanley,101840,CitiBank London,EUR,Deliver,9583,2020-02-29 ,Processing,9583,Payment is in progress,3
HSBC,101678,CitiBank Bengaluru,EUR,Receive,1009,2020-03-18 ,Processing,1009,Payment is in progress,3
BNY Mellon,103443,CitiBank HongKong,USD,Deliver,8229,2020-04-02 ,Fully paid,0,Transaction complete,4
HSBC,104466,CitiBank London,GBP,Deliver,4649,2020-03-20 ,Processing,4649,Payment is in progress,4
Goldman Sachs,101686,CitiBank Singapore,EUR,Receive,3892,2020-05-10 ,Processing,3892,Payment is in progress,4
Goldman Sachs,104461,CitiBank NewYork,USD,Deliver,2801,2020-02-22 ,Partially Paid,4279,Waiting for pending amount,4
BNY Mellon,104768,CitiBank Singapore,CAD,Deliver,6108,2020-04-05 ,Processing,6108,Payment is in progress,4
Goldman Sachs,103354,CitiBank Bengaluru,GBP,Deliver,9726,2020-02-26 ,Partially Paid,1364,Waiting for pending amount,4
Goldman Sachs,101680,CitiBank London,CAD,Deliver,9580,2020-04-14 ,Rejected,9580,Payment Failed,4
DEUTSCHE BANK,101568,CitiBank Bengaluru,EUR,Receive,428,2020-06-06 ,Processing,428,Payment is in progress,4
BNP Paribas,103705,CitiBank Bengaluru,EUR,Receive,1671,2020-05-21 ,Partially Paid,4044,Waiting for pending amount,4
DEUTSCHE BANK,102454,CitiBank London,CAD,Receive,1596,2020-04-25 ,Processing,1596,Payment is in progress,4
BNP Paribas,102803,CitiBank London,USD,Deliver,6408,2020-04-22 ,Rejected,6408,Payment Failed,4
BNP Paribas,101677,CitiBank Pune,EUR,Deliver,1897,2020-06-04 ,Rejected,1897,Payment Failed,4
Wells Fargo,104133,CitiBank London,GBP,Deliver,1955,2020-02-27 ,Processing,1955,Payment is in progress,4
Goldman Sachs,101926,CitiBank Singapore,GBP,Deliver,3538,2020-03-27 ,Rejected,3538,Payment Failed,4
J P Morgan,104007,CitiBank Bengaluru,GBP,Deliver,8069,2020-05-19 ,Fully paid,0,Transaction complete,4
HSBC,101860,CitiBank Singapore,EUR,Receive,5668,2020-05-04 ,Partially Paid,4266,Waiting for pending amount,4
DEUTSCHE BANK,105095,CitiBank NewYork,USD,Receive,5106,2020-04-15 ,Rejected,5106,Payment Failed,4
DEUTSCHE BANK,102032,CitiBank HongKong,GBP,Deliver,6898,2020-04-21 ,Rejected,6898,Payment Failed,4
Goldman Sachs,103723,CitiBank Singapore,INR,Receive,8181,2020-02-29 ,Processing,8181,Payment is in progress,4
BNY Mellon,102509,CitiBank NewYork,USD,Deliver,362,2020-06-03 ,Fully paid,0,Transaction complete,4
Wells Fargo,102437,CitiBank Singapore,GBP,Deliver,699,2020-06-02 ,Partially Paid,6566,Waiting for pending amount,4
BNY Mellon,103255,CitiBank Singapore,EUR,Receive,7835,2020-02-24 ,Partially Paid,1488,Waiting for pending amount,4
DEUTSCHE BANK,104564,CitiBank HongKong,INR,Receive,4237,2020-06-01 ,Rejected,4237,Payment Failed,4
J P Morgan,102691,CitiBank NewYork,INR,Deliver,9902,2020-06-02 ,Processing,9902,Payment is in progress,4
Wells Fargo,101602,CitiBank HongKong,INR,Deliver,3852,2020-04-04 ,Rejected,3852,Payment Failed,4
Wells Fargo,101738,CitiBank Bengaluru,EUR,Receive,4075,2020-03-07 ,Partially Paid,1079,Waiting for pending amount,4
Morgan Stanley,103699,CitiBank HongKong,EUR,Deliver,8021,2020-05-18 ,Partially Paid,7234,Waiting for pending amount,4
Wells Fargo,101472,CitiBank Bengaluru,GBP,Deliver,9432,2020-05-24 ,Fully paid,0,Transaction complete,4
Goldman Sachs,102956,CitiBank HongKong,USD,Deliver,5383,2020-02-23 ,Processing,5383,Payment is in progress,4
Morgan Stanley,104795,CitiBank London,EUR,Receive,3437,2020-04-22 ,Rejected,3437,Payment Failed,4
BNY Mellon,101726,CitiBank Bengaluru,GBP,Receive,8569,2020-04-17 ,Rejected,8569,Payment Failed,4
DEUTSCHE BANK,101161,CitiBank Pune,INR,Receive,5801,2020-04-22 ,Rejected,5801,Payment Failed,4
Wells Fargo,104424,CitiBank HongKong,USD,Receive,9347,2020-06-07 ,Partially Paid,551,Waiting for pending amount,4
HSBC,101371,CitiBank Bengaluru,GBP,Receive,7668,2020-05-01 ,Rejected,7668,Payment Failed,4
BNY Mellon,102428,CitiBank HongKong,GBP,Deliver,9321,2020-04-15 ,Processing,9321,Payment is in progress,4
BNP Paribas,105090,CitiBank Singapore,CAD,Receive,5054,2020-05-31 ,Partially Paid,4353,Waiting for pending amount,4
DEUTSCHE BANK,104957,CitiBank NewYork,CAD,Deliver,7785,2020-03-22 ,Partially Paid,5778,Waiting for pending amount,4
HSBC,104374,CitiBank Singapore,EUR,Deliver,8032,2020-06-07 ,Rejected,8032,Payment Failed,4
J P Morgan,103449,CitiBank London,EUR,Receive,9626,2020-04-13 ,Fully paid,0,Transaction complete,4
BNP Paribas,103954,CitiBank Pune,USD,Deliver,4273,2020-04-03 ,Processing,4273,Payment is in progress,4
Wells Fargo,102347,CitiBank London,EUR,Deliver,7867,2020-02-28 ,Partially Paid,6478,Waiting for pending amount,4
Morgan Stanley,103766,CitiBank HongKong,CAD,Receive,251,2020-03-27 ,Processing,251,Payment is in progress,4
BNY Mellon,102507,CitiBank NewYork,GBP,Receive,1998,2020-03-14 ,Rejected,1998,Payment Failed,4
BNY Mellon,105026,CitiBank HongKong,GBP,Deliver,9072,2020-03-02 ,Partially Paid,3562,Waiting for pending amount,4
HSBC,104875,CitiBank London,GBP,Receive,2572,2020-05-09 ,Fully paid,0,Transaction complete,4
HSBC,102052,CitiBank Bengaluru,GBP,Receive,2217,2020-02-28 ,Processing,2217,Payment is in progress,4
Wells Fargo,101353,CitiBank London,USD,Deliver,7361,2020-05-31 ,Rejected,7361,Payment Failed,4
Morgan Stanley,102088,CitiBank HongKong,USD,Deliver,8567,2020-04-18 ,Fully paid,0,Transaction complete,4
BNY Mellon,101807,CitiBank Singapore,INR,Deliver,4381,2020-04-23 ,Rejected,4381,Payment Failed,4
Wells Fargo,102375,CitiBank Pune,GBP,Deliver,9320,2020-06-05 ,Fully paid,0,Transaction complete,4
BNP Paribas,103952,CitiBank HongKong,GBP,Deliver,3358,2020-05-31 ,Processing,3358,Payment is in progress,4
BNY Mellon,103989,CitiBank Singapore,USD,Deliver,3305,2020-05-09 ,Processing,3305,Payment is in progress,4
BNY Mellon,101846,CitiBank Singapore,EUR,Receive,1164,2020-04-08 ,Processing,1164,Payment is in progress,4
HSBC,102503,CitiBank London,INR,Deliver,5399,2020-04-04 ,Fully paid,0,Transaction complete,4
J P Morgan,103466,CitiBank HongKong,GBP,Receive,4355,2020-03-12 ,Rejected,4355,Payment Failed,4
Morgan Stanley,104230,CitiBank Bengaluru,EUR,Deliver,7821,2020-03-17 ,Rejected,7821,Payment Failed,4
Morgan Stanley,104602,CitiBank London,EUR,Deliver,2347,2020-03-29 ,Partially Paid,5497,Waiting for pending amount,4
BNP Paribas,101917,CitiBank Singapore,GBP,Receive,4858,2020-04-07 ,Processing,4858,Payment is in progress,4
J P Morgan,103821,CitiBank NewYork,INR,Deliver,5622,2020-03-03 ,Fully paid,0,Transaction complete,4
J P Morgan,104433,CitiBank NewYork,USD,Receive,4829,2020-03-14 ,Processing,4829,Payment is in progress,4
J P Morgan,103425,CitiBank Bengaluru,GBP,Deliver,6888,2020-02-29 ,Rejected,6888,Payment Failed,4
BNP Paribas,104907,CitiBank London,CAD,Receive,1463,2020-02-26 ,Rejected,1463,Payment Failed,4
Goldman Sachs,102794,CitiBank Bengaluru,USD,Receive,5805,2020-03-14 ,Rejected,5805,Payment Failed,4
BNY Mellon,102380,CitiBank Singapore,CAD,Receive,1052,2020-03-30 ,Rejected,1052,Payment Failed,4
Wells Fargo,102303,CitiBank NewYork,GBP,Receive,6372,2020-03-09 ,Partially Paid,682,Waiting for pending amount,4
BNP Paribas,105084,CitiBank HongKong,EUR,Deliver,3458,2020-03-24 ,Fully paid,0,Transaction complete,4
BNP Paribas,101114,CitiBank NewYork,GBP,Receive,7878,2020-02-22 ,Rejected,7878,Payment Failed,4
Wells Fargo,104013,CitiBank London,CAD,Receive,4149,2020-05-22 ,Processing,4149,Payment is in progress,4
Goldman Sachs,102253,CitiBank Pune,INR,Deliver,5992,2020-04-25 ,Processing,5992,Payment is in progress,4
BNY Mellon,101656,CitiBank London,INR,Receive,6954,2020-02-22 ,Processing,6954,Payment is in progress,4
Morgan Stanley,102884,CitiBank HongKong,INR,Deliver,7015,2020-02-21 ,Fully paid,0,Transaction complete,4
Goldman Sachs,103922,CitiBank HongKong,INR,Deliver,8662,2020-03-14 ,Fully paid,0,Transaction complete,4
Goldman Sachs,101385,CitiBank London,EUR,Deliver,1038,2020-03-25 ,Fully paid,0,Transaction complete,4
HSBC,101778,CitiBank London,GBP,Deliver,7117,2020-04-10 ,Partially Paid,29,Waiting for pending amount,4
Goldman Sachs,103188,CitiBank HongKong,CAD,Receive,5308,2020-02-26 ,Rejected,5308,Payment Failed,4
DEUTSCHE BANK,102265,CitiBank NewYork,INR,Deliver,659,2020-05-29 ,Processing,659,Payment is in progress,4
Wells Fargo,104649,CitiBank NewYork,USD,Receive,7936,2020-04-13 ,Fully paid,0,Transaction complete,4
Morgan Stanley,104348,CitiBank NewYork,GBP,Receive,7304,2020-03-09 ,Processing,7304,Payment is in progress,4
Goldman Sachs,103011,CitiBank Bengaluru,EUR,Deliver,27,2020-03-13 ,Partially Paid,4326,Waiting for pending amount,4
Morgan Stanley,102318,CitiBank Bengaluru,USD,Receive,9911,2020-06-05 ,Fully paid,0,Transaction complete,4
Goldman Sachs,101639,CitiBank London,INR,Receive,1841,2020-03-12 ,Rejected,1841,Payment Failed,4
BNP Paribas,101697,CitiBank Pune,USD,Deliver,184,2020-06-08 ,Processing,184,Payment is in progress,4
J P Morgan,102879,CitiBank Bengaluru,CAD,Receive,8998,2020-05-10 ,Partially Paid,5221,Waiting for pending amount,4
Goldman Sachs,105057,CitiBank Bengaluru,USD,Deliver,4438,2020-03-01 ,Processing,4438,Payment is in progress,4
Goldman Sachs,101544,CitiBank Bengaluru,GBP,Deliver,5997,2020-05-14 ,Fully paid,0,Transaction complete,4
BNY Mellon,104528,CitiBank Singapore,EUR,Deliver,8627,2020-02-19 ,Partially Paid,9365,Waiting for pending amount,4
J P Morgan,105045,CitiBank London,CAD,Deliver,533,2020-05-26 ,Partially Paid,3847,Waiting for pending amount,4
Morgan Stanley,104253,CitiBank Pune,USD,Receive,1353,2020-03-04 ,Partially Paid,7185,Waiting for pending amount,4
J P Morgan,104139,CitiBank Bengaluru,EUR,Receive,8197,2020-03-19 ,Rejected,8197,Payment Failed,4
DEUTSCHE BANK,101265,CitiBank HongKong,GBP,Deliver,6660,2020-04-16 ,Processing,6660,Payment is in progress,4
Goldman Sachs,104155,CitiBank London,EUR,Deliver,1478,2020-04-17 ,Rejected,1478,Payment Failed,4
BNP Paribas,102728,CitiBank Bengaluru,GBP,Deliver,8744,2020-06-04 ,Fully paid,0,Transaction complete,4
BNP Paribas,102586,CitiBank Pune,USD,Receive,8384,2020-04-01 ,Fully paid,0,Transaction complete,4
J P Morgan,103495,CitiBank Pune,USD,Receive,6062,2020-04-22 ,Processing,6062,Payment is in progress,4
DEUTSCHE BANK,102750,CitiBank London,CAD,Receive,907,2020-05-29 ,Rejected,907,Payment Failed,4
BNY Mellon,104126,CitiBank London,CAD,Deliver,3929,2020-04-28 ,Rejected,3929,Payment Failed,4
HSBC,102457,CitiBank Singapore,GBP,Deliver,7055,2020-03-16 ,Fully paid,0,Transaction complete,5
Goldman Sachs,102101,CitiBank London,USD,Receive,1759,2020-04-26 ,Fully paid,0,Transaction complete,5
Goldman Sachs,103996,CitiBank Bengaluru,USD,Receive,5993,2020-03-04 ,Processing,5993,Payment is in progress,5
Wells Fargo,102061,CitiBank Bengaluru,CAD,Deliver,395,2020-04-05 ,Rejected,395,Payment Failed,5
Goldman Sachs,103759,CitiBank Bengaluru,USD,Receive,9136,2020-05-09 ,Partially Paid,2224,Waiting for pending amount,5
DEUTSCHE BANK,101507,CitiBank London,USD,Deliver,549,2020-04-29 ,Partially Paid,6824,Waiting for pending amount,5
Morgan Stanley,103110,CitiBank Bengaluru,CAD,Deliver,904,2020-05-28 ,Fully paid,0,Transaction complete,5
HSBC,102167,CitiBank London,EUR,Receive,5313,2020-06-07 ,Fully paid,0,Transaction complete,5
HSBC,103073,CitiBank Singapore,INR,Deliver,6045,2020-04-08 ,Partially Paid,7559,Waiting for pending amount,5
DEUTSCHE BANK,104753,CitiBank HongKong,USD,Receive,4765,2020-03-21 ,Partially Paid,7996,Waiting for pending amount,5
Goldman Sachs,101555,CitiBank London,EUR,Receive,7453,2020-05-25 ,Processing,7453,Payment is in progress,5
Wells Fargo,103896,CitiBank Pune,GBP,Receive,725,2020-05-17 ,Processing,725,Payment is in progress,5
HSBC,101710,CitiBank HongKong,EUR,Deliver,8133,2020-04-30 ,Fully paid,0,Transaction complete,5
J P Morgan,103231,CitiBank Bengaluru,EUR,Deliver,5946,2020-04-25 ,Partially Paid,58,Waiting for pending amount,5
BNP Paribas,102117,CitiBank NewYork,CAD,Deliver,557,2020-03-21 ,Partially Paid,6739,Waiting for pending amount,5
Morgan Stanley,102308,CitiBank Bengaluru,EUR,Deliver,3963,2020-06-01 ,Rejected,3963,Payment Failed,5
DEUTSCHE BANK,101630,CitiBank London,CAD,Deliver,9732,2020-06-02 ,Processing,9732,Payment is in progress,5
Wells Fargo,102737,CitiBank Bengaluru,EUR,Deliver,3275,2020-04-04 ,Partially Paid,3558,Waiting for pending amount,5
BNY Mellon,102580,CitiBank NewYork,GBP,Receive,7880,2020-04-30 ,Rejected,7880,Payment Failed,5
Wells Fargo,101687,CitiBank NewYork,USD,Receive,1541,2020-04-06 ,Partially Paid,1510,Waiting for pending amount,5
J P Morgan,103026,CitiBank London,CAD,Receive,6992,2020-02-26 ,Rejected,6992,Payment Failed,5
BNY Mellon,102859,CitiBank Singapore,INR,Receive,8568,2020-04-08 ,Processing,8568,Payment is in progress,5
Wells Fargo,104592,CitiBank NewYork,INR,Deliver,6403,2020-06-04 ,Processing,6403,Payment is in progress,5
Wells Fargo,102825,CitiBank HongKong,CAD,Receive,3806,2020-06-08 ,Partially Paid,8478,Waiting for pending amount,5
HSBC,101733,CitiBank Singapore,USD,Receive,1722,2020-05-04 ,Partially Paid,3009,Waiting for pending amount,5
Wells Fargo,103237,CitiBank Bengaluru,CAD,Deliver,8276,2020-04-19 ,Fully paid,0,Transaction complete,5
Goldman Sachs,105076,CitiBank Pune,GBP,Deliver,2793,2020-05-22 ,Processing,2793,Payment is in progress,5
BNP Paribas,104250,CitiBank Bengaluru,GBP,Deliver,7037,2020-05-28 ,Rejected,7037,Payment Failed,5
Morgan Stanley,103124,CitiBank Singapore,USD,Receive,4965,2020-04-10 ,Fully paid,0,Transaction complete,5
J P Morgan,101373,CitiBank Bengaluru,INR,Receive,3398,2020-06-01 ,Processing,3398,Payment is in progress,5
Goldman Sachs,104804,CitiBank Pune,USD,Deliver,2249,2020-05-04 ,Fully paid,0,Transaction complete,5
BNP Paribas,103087,CitiBank NewYork,GBP,Deliver,4740,2020-03-13 ,Processing,4740,Payment is in progress,5
Wells Fargo,102981,CitiBank Singapore,EUR,Deliver,8877,2020-05-25 ,Processing,8877,Payment is in progress,5
BNP Paribas,104123,CitiBank HongKong,CAD,Receive,2201,2020-05-29 ,Rejected,2201,Payment Failed,5
BNP Paribas,103069,CitiBank HongKong,GBP,Receive,7047,2020-04-16 ,Partially Paid,8684,Waiting for pending amount,5
BNY Mellon,102610,CitiBank Pune,INR,Deliver,557,2020-02-25 ,Partially Paid,830,Waiting for pending amount,5
Goldman Sachs,104720,CitiBank London,EUR,Receive,8531,2020-05-25 ,Processing,8531,Payment is in progress,5
BNP Paribas,102997,CitiBank London,USD,Receive,5183,2020-03-31 ,Partially Paid,8603,Waiting for pending amount,5
BNY Mellon,104952,CitiBank HongKong,GBP,Receive,5240,2020-04-24 ,Processing,5240,Payment is in progress,5
Morgan Stanley,104628,CitiBank Bengaluru,GBP,Deliver,281,2020-05-27 ,Partially Paid,6480,Waiting for pending amount,5
Morgan Stanley,104393,CitiBank HongKong,CAD,Receive,2575,2020-05-22 ,Rejected,2575,Payment Failed,5
J P Morgan,101197,CitiBank Pune,INR,Receive,7713,2020-06-01 ,Partially Paid,5843,Waiting for pending amount,5
HSBC,101673,CitiBank Singapore,USD,Receive,2232,2020-03-17 ,Rejected,2232,Payment Failed,5
Goldman Sachs,103248,CitiBank Pune,GBP,Deliver,8204,2020-05-19 ,Rejected,8204,Payment Failed,5
Morgan Stanley,103503,CitiBank Bengaluru,GBP,Deliver,2786,2020-05-21 ,Processing,2786,Payment is in progress,5
Goldman Sachs,101368,CitiBank NewYork,USD,Receive,2491,2020-04-08 ,Rejected,2491,Payment Failed,5
Goldman Sachs,102689,CitiBank HongKong,USD,Deliver,6757,2020-03-05 ,Rejected,6757,Payment Failed,5
BNY Mellon,102002,CitiBank NewYork,GBP,Receive,1373,2020-04-12 ,Rejected,1373,Payment Failed,5
HSBC,102649,CitiBank London,GBP,Receive,7204,2020-05-01 ,Partially Paid,2497,Waiting for pending amount,5
Morgan Stanley,101753,CitiBank NewYork,EUR,Deliver,5190,2020-05-06 ,Processing,5190,Payment is in progress,5
Morgan Stanley,101530,CitiBank Singapore,INR,Receive,8686,2020-05-26 ,Partially Paid,223,Waiting for pending amount,5
Goldman Sachs,102075,CitiBank London,USD,Receive,780,2020-03-24 ,Partially Paid,7169,Waiting for pending amount,5
BNY Mellon,101569,CitiBank HongKong,INR,Deliver,3107,2020-04-23 ,Fully paid,0,Transaction complete,5
Goldman Sachs,102018,CitiBank Pune,CAD,Receive,6629,2020-06-06 ,Processing,6629,Payment is in progress,5
DEUTSCHE BANK,102386,CitiBank HongKong,CAD,Receive,5913,2020-03-05 ,Fully paid,0,Transaction complete,5
HSBC,102316,CitiBank Bengaluru,CAD,Deliver,7379,2020-02-27 ,Partially Paid,1113,Waiting for pending amount,5
Morgan Stanley,102819,CitiBank NewYork,GBP,Deliver,2560,2020-02-24 ,Processing,2560,Payment is in progress,5
Morgan Stanley,101474,CitiBank London,GBP,Receive,3263,2020-04-20 ,Fully paid,0,Transaction complete,5
J P Morgan,102182,CitiBank Bengaluru,INR,Receive,4385,2020-03-04 ,Processing,4385,Payment is in progress,5
J P Morgan,104944,CitiBank London,USD,Deliver,4059,2020-05-05 ,Rejected,4059,Payment Failed,5
Morgan Stanley,101589,CitiBank Pune,CAD,Deliver,1264,2020-02-29 ,Partially Paid,4407,Waiting for pending amount,5
Wells Fargo,102415,CitiBank NewYork,INR,Receive,5544,2020-03-09 ,Partially Paid,6126,Waiting for pending amount,5
Wells Fargo,101968,CitiBank London,INR,Deliver,4350,2020-03-11 ,Processing,4350,Payment is in progress,5
J P Morgan,105012,CitiBank Pune,CAD,Receive,5562,2020-03-04 ,Processing,5562,Payment is in progress,5
HSBC,103184,CitiBank NewYork,USD,Deliver,8071,2020-04-07 ,Processing,8071,Payment is in progress,5
DEUTSCHE BANK,104460,CitiBank Singapore,CAD,Receive,4326,2020-02-20 ,Rejected,4326,Payment Failed,5
Goldman Sachs,102585,CitiBank London,INR,Receive,4245,2020-04-29 ,Partially Paid,718,Waiting for pending amount,5
